797|202004|9|203503||000|1|P|53|27|50000|53|3.125|R|N|FRM|KY|SF|41000|F120Q1001357|C|180|02|Other sellers|Other servicers|||9||2
730|202003|9|204002|38900|000|1|P|67|42|203000|67|3.375|R|N|FRM|OR|SF|97200|F120Q1001427|C|240|01|Other sellers|Other servicers|||9||2
779|202003|9|205002||000|1|P|51|21|218000|51|3.75|R|N|FRM|RI|SF|02800|F120Q1001439|N|360|01|Other sellers|Other servicers|||9||2
699|202003|9|204002|16740|000|1|P|66|28|115000|66|4.125|R|N|FRM|NC|SF|28100|F120Q1001447|N|240|01|Other sellers|Other servicers|||9||2
750|202003|9|204002||000|1|P|67|44|184000|67|3.75|R|N|FRM|VT|SF|05800|F120Q1001470|N|240|01|Other sellers|Other servicers|||9||2
751|202003|N|205002||000|1|P|72|15|114000|72|3.875|R|N|FRM|OK|SF|73000|F120Q1001509|P|360|02|Other sellers|Other servicers|||9||2
691|202003|9|205002|19780|000|1|P|72|44|235000|72|4.5|R|N|FRM|IA|SF|50200|F120Q1001578|C|360|01|Other sellers|Other servicers|||9||2
679|202004|9|203503|34980|000|1|P|80|31|168000|80|4.125|R|N|FRM|TN|SF|37000|F120Q1001649|C|180|02|Other sellers|U.S. BANK N.A.|||9||2
776|202003|9|203502|22744|000|1|P|57|33|200000|57|3.125|R|N|FRM|FL|SF|33300|F120Q1001706|C|180|01|Other sellers|Other servicers|||9||2
804|202004|9|203503||000|1|P|36|25|181000|36|3.375|R|N|FRM|MI|SF|49600|F120Q1001729|N|180|02|Other sellers|Other servicers|||9||2
754|202003|9|203002||000|1|P|57|16|135000|57|3.5|R|N|_|AK|SF|99600|F120Q1001741|C|120|02|Other sellers|Other servicers|||9||2
811|202003|Y|205002|49660|25|1|P|90|41|198000|90|3.75|R|N|FRM|OH|SF|44400|F120Q1001763|P|360|02|Other sellers|Other servicers|||9||2
789|202004|9|203503|37900|000|1|P|76|15|80000|76|3.25|R|N|FRM|IL|SF|61600|F120Q1001905|N|180|01|Other sellers|Other servicers|||9||2
757|202002|9|203501||000|1|P|80|24|156000|80|3.25|R|N|FRM|OH|SF|43500|F120Q1001927|N|180|02|Other sellers|Other servicers|||9||2
675|202003|9|205002|41180|25|1|P|90|24|126000|90|4.25|R|N|FRM|IL|SF|62000|F120Q1001984|N|360|02|Other sellers|ARVEST CENTRAL MORTGAGE COMPANY|||9||2
664|202003|N|205002||000|1|P|74|18|69000|74|4.375|R|N|FRM|KY|SF|40300|F120Q1001991|P|360|01|Other sellers|Other servicers|||9||2
738|202004|9|205003|39300|30|1|P|95|42|242000|95|3.75|R|N|FRM|RI|SF|02800|F120Q1002052|N|360|01|Other sellers|Other servicers|||9||2
